model,sample_mode,element,unit,r2,mse,rmse,rrmse,mae,mape,wrmse
MLR,Dried,Al,ppm,0.2869,0.0057,0.0755,0.0168,0.0619,0.1303,0.0585
MLR,Dried,B,ppm,0.5825,0.0046,0.0676,0.016,0.0485,2.01776E+13,0.0605
MLR,Dried,Ca,pct,0.3315,0.0081,0.0898,0.0215,0.0704,0.1797,0.0695
MLR,Dried,Cu,ppm,0.3391,0.0124,0.1113,0.0252,0.0818,6.39291E+13,0.0862
MLR,Dried,Fe,ppm,0.1521,0.011,0.105,0.0235,0.075,2.28091E+13,0.0813
MLR,Dried,Mg,pct,0.4729,0.0091,0.0953,0.0224,0.0666,4.97424E+13,0.0738
MLR,Dried,Mn,ppm,0.4963,0.0073,0.0852,0.019,0.0588,2.11723E+13,0.0762
MLR,Dried,N,pct,0.46,0.0054,0.0733,0.0168,0.0508,0.1229,0.0733
MLR,Dried,P,pct,0.4231,0.0075,0.0863,0.0192,0.0629,2.10557E+13,0.0863
MLR,Dried,K,pct,0.4991,0.006,0.0773,0.0171,0.0616,0.1217,0.0773
MLR,Dried,Na,pct,0.2809,0.0058,0.0763,0.0179,0.0521,2.68938E+13,0
MLR,Dried,S,pct,0.2311,0.009,0.0949,0.0211,0.074,1.61955E+13,0.0735
MLR,Dried,Zn,ppm,0.2533,0.0085,0.0923,0.0205,0.0687,2.14908E+13,0.0715
MLR,Fresh,Al,ppm,-1.3776,0.0186,0.1365,0.0358,0.1183,0.2541,0.1057
MLR,Fresh,B,ppm,-3.2838,0.0578,0.2405,0.0659,0.2274,9.1431E+12,0.2151
MLR,Fresh,Ca,pct,-8.2721,0.0988,0.3144,0.0861,0.3036,0.6987,0.2435
MLR,Fresh,Cu,ppm,-0.0854,0.0389,0.1971,0.0504,0.1328,8.66153E+13,0.1527
MLR,Fresh,Fe,ppm,-0.6193,0.0217,0.1473,0.0386,0.1036,2.74284E+13,0.1141
MLR,Fresh,Mg,pct,-0.2038,0.012,0.1096,0.0291,0.0931,0.1867,0.0849
MLR,Fresh,Mn,ppm,0.3215,0.009,0.0949,0.0254,0.0719,2.45722E+13,0.0849
MLR,Fresh,N,pct,-0.4463,0.0092,0.096,0.0246,0.0736,0.1399,0.096
MLR,Fresh,P,pct,-6.3367,0.0844,0.2904,0.0749,0.2676,9.31057E+12,0.2904
MLR,Fresh,K,pct,-0.583,0.0132,0.1149,0.0295,0.0956,0.2035,0.1149
MLR,Fresh,Na,pct,-0.1941,0.0078,0.0885,0.0229,0.0678,0.1314,0
MLR,Fresh,S,pct,-2.656,0.0206,0.1437,0.0368,0.1173,0.2282,0.1113
MLR,Fresh,Zn,ppm,-5.2555,0.0443,0.2106,0.0542,0.1939,0.3882,0.1631
MTL,Dried,Al,ppm,0.4527,0.0044,0.0661,0.0148,0.0523,0.1115,0.0512
MTL,Dried,B,ppm,0.5923,0.0045,0.0668,0.0158,0.0492,1.99697E+13,0.0598
MTL,Dried,Ca,pct,0.4085,0.0071,0.0844,0.0202,0.0623,0.1608,0.0654
MTL,Dried,Cu,ppm,0.2438,0.0142,0.1191,0.0269,0.0814,7.31701E+13,0.0922
MTL,Dried,Fe,ppm,0.2644,0.0096,0.0978,0.0219,0.0651,2.34364E+13,0.0758
MTL,Dried,Mg,pct,0.4943,0.0087,0.0933,0.022,0.063,5.04563E+13,0.0723
MTL,Dried,Mn,ppm,0.4602,0.0078,0.0882,0.0197,0.0623,2.34677E+13,0.0789
MTL,Dried,N,pct,0.3387,0.0066,0.0811,0.0186,0.0558,0.1382,0.0811
MTL,Dried,P,pct,0.4014,0.0077,0.088,0.0195,0.0602,2.43601E+13,0.088
MTL,Dried,K,pct,0.5264,0.0057,0.0752,0.0166,0.0575,0.115,0.0752
MTL,Dried,Na,pct,0.2384,0.0062,0.0785,0.0184,0.0515,2.82806E+13,0
MTL,Dried,S,pct,0.217,0.0092,0.0958,0.0213,0.0717,2.32357E+13,0.0742
MTL,Dried,Zn,ppm,0.2285,0.0088,0.0939,0.0209,0.0672,2.33043E+13,0.0727
MTL,Fresh,Al,ppm,-0.1624,0.0091,0.0955,0.025,0.0743,0.1485,0.0739
MTL,Fresh,B,ppm,0.0982,0.0122,0.1103,0.0302,0.0852,3.34743E+13,0.0987
MTL,Fresh,Ca,pct,-0.4116,0.015,0.1227,0.0336,0.0988,0.2486,0.095
MTL,Fresh,Cu,ppm,-0.595,0.0571,0.239,0.0611,0.1837,6.78015E+13,0.1851
MTL,Fresh,Fe,ppm,-0.4469,0.0194,0.1393,0.0365,0.1001,2.67045E+13,0.1079
MTL,Fresh,Mg,pct,0.3871,0.0061,0.0782,0.0208,0.0627,0.1266,0.0606
MTL,Fresh,Mn,ppm,-0.1366,0.0151,0.1228,0.0329,0.0931,3.67638E+13,0.1098
MTL,Fresh,N,pct,-2.4247,0.0218,0.1478,0.0378,0.1263,0.2405,0.1478
MTL,Fresh,P,pct,-0.8109,0.0208,0.1443,0.0372,0.114,2.41638E+13,0.1443
MTL,Fresh,K,pct,0.1988,0.0067,0.0818,0.021,0.0656,0.1246,0.0818
MTL,Fresh,Na,pct,0.0712,0.0061,0.078,0.0202,0.0583,0.1113,0
MTL,Fresh,S,pct,-0.9827,0.0112,0.1058,0.0271,0.0867,0.1776,0.0819
MTL,Fresh,Zn,ppm,0.088,0.0065,0.0804,0.0207,0.0614,0.125,0.0623
MTEN,Dried,Al,ppm,0.4527,0.0044,0.0661,0.0148,0.0523,0.1115,0.0512
MTEN,Dried,B,ppm,0.5923,0.0045,0.0668,0.0158,0.0492,1.99697E+13,0.0598
MTEN,Dried,Ca,pct,0.4085,0.0071,0.0844,0.0202,0.0623,0.1608,0.0654
MTEN,Dried,Cu,ppm,0.2438,0.0142,0.1191,0.0269,0.0814,7.31701E+13,0.0922
MTEN,Dried,Fe,ppm,0.2644,0.0096,0.0978,0.0219,0.0651,2.34364E+13,0.0758
MTEN,Dried,Mg,pct,0.4943,0.0087,0.0933,0.022,0.063,5.04563E+13,0.0723
MTEN,Dried,Mn,ppm,0.4602,0.0078,0.0882,0.0197,0.0623,2.34677E+13,0.0789
MTEN,Dried,N,pct,0.3387,0.0066,0.0811,0.0186,0.0558,0.1382,0.0811
MTEN,Dried,P,pct,0.4014,0.0077,0.088,0.0195,0.0602,2.43601E+13,0.088
MTEN,Dried,K,pct,0.5264,0.0057,0.0752,0.0166,0.0575,0.115,0.0752
MTEN,Dried,Na,pct,0.2384,0.0062,0.0785,0.0184,0.0515,2.82806E+13,0
MTEN,Dried,S,pct,0.217,0.0092,0.0958,0.0213,0.0717,2.32357E+13,0.0742
MTEN,Dried,Zn,ppm,0.2285,0.0088,0.0939,0.0209,0.0672,2.33043E+13,0.0727
MTEN,Fresh,Al,ppm,-0.1624,0.0091,0.0955,0.025,0.0743,0.1485,0.0739
MTEN,Fresh,B,ppm,0.0982,0.0122,0.1103,0.0302,0.0852,3.34743E+13,0.0987
MTEN,Fresh,Ca,pct,-0.4116,0.015,0.1227,0.0336,0.0988,0.2486,0.095
MTEN,Fresh,Cu,ppm,-0.595,0.0571,0.239,0.0611,0.1837,6.78015E+13,0.1851
MTEN,Fresh,Fe,ppm,-0.4469,0.0194,0.1393,0.0365,0.1001,2.67045E+13,0.1079
MTEN,Fresh,Mg,pct,0.3871,0.0061,0.0782,0.0208,0.0627,0.1266,0.0606
MTEN,Fresh,Mn,ppm,-0.1366,0.0151,0.1228,0.0329,0.0931,3.67638E+13,0.1098
MTEN,Fresh,N,pct,-2.4247,0.0218,0.1478,0.0378,0.1263,0.2405,0.1478
MTEN,Fresh,P,pct,-0.8109,0.0208,0.1443,0.0372,0.114,2.41638E+13,0.1443
MTEN,Fresh,K,pct,0.1988,0.0067,0.0818,0.021,0.0656,0.1246,0.0818
MTEN,Fresh,Na,pct,0.0712,0.0061,0.078,0.0202,0.0583,0.1113,0
MTEN,Fresh,S,pct,-0.9827,0.0112,0.1058,0.0271,0.0867,0.1776,0.0819
MTEN,Fresh,Zn,ppm,0.088,0.0065,0.0804,0.0207,0.0614,0.125,0.0623
PLS,Dried,Al,ppm,0.4826,0.0041,0.0643,0.0143,0.0506,0.1053,0.0498
PLS,Dried,B,ppm,0.5856,0.0045,0.0674,0.0159,0.0472,2.17966E+13,0.0603
PLS,Dried,Ca,pct,0.3991,0.0072,0.0851,0.0204,0.0654,0.1668,0.0659
PLS,Dried,Cu,ppm,0.1923,0.0151,0.1231,0.0278,0.0856,7.35295E+13,0.0953
PLS,Dried,Fe,ppm,0.2157,0.0102,0.101,0.0226,0.0682,2.43263E+13,0.0782
PLS,Dried,Mg,pct,0.5129,0.0084,0.0916,0.0216,0.0628,4.9505E+13,0.071
PLS,Dried,Mn,ppm,0.3002,0.0101,0.1004,0.0224,0.0758,2.39376E+13,0.0898
PLS,Dried,N,pct,0.3211,0.0068,0.0822,0.0188,0.0557,0.1383,0.0822
PLS,Dried,P,pct,0.4044,0.0077,0.0877,0.0195,0.0626,2.34999E+13,0.0877
PLS,Dried,K,pct,0.5673,0.0052,0.0719,0.0159,0.0553,0.1084,0.0719
PLS,Dried,Na,pct,0.2697,0.0059,0.0769,0.018,0.0479,2.88161E+13,0
PLS,Dried,S,pct,0.2917,0.0083,0.0911,0.0202,0.0666,2.14688E+13,0.0705
PLS,Dried,Zn,ppm,0.1881,0.0093,0.0963,0.0214,0.0684,2.37986E+13,0.0746
PLS,Fresh,Al,ppm,-0.6162,0.0127,0.1126,0.0295,0.0825,0.1565,0.0872
PLS,Fresh,B,ppm,0.3558,0.0087,0.0933,0.0256,0.0688,2.68838E+13,0.0834
PLS,Fresh,Ca,pct,0.1927,0.0086,0.0928,0.0254,0.0731,0.1825,0.0719
PLS,Fresh,Cu,ppm,0.0735,0.0332,0.1821,0.0466,0.1154,9.98479E+13,0.1411
PLS,Fresh,Fe,ppm,-0.2954,0.0174,0.1318,0.0345,0.0881,2.71628E+13,0.1021
PLS,Fresh,Mg,pct,-0.8672,0.0186,0.1365,0.0363,0.1203,0.2418,0.1057
PLS,Fresh,Mn,ppm,-0.2168,0.0161,0.127,0.0341,0.1075,2.18908E+13,0.1136
PLS,Fresh,N,pct,-0.5263,0.0097,0.0987,0.0252,0.0763,0.1482,0.0987
PLS,Fresh,P,pct,-3.3451,0.05,0.2235,0.0577,0.199,1.51492E+13,0.2235
PLS,Fresh,K,pct,-2.0578,0.0255,0.1598,0.041,0.146,0.3078,0.1598
PLS,Fresh,Na,pct,-0.6909,0.0111,0.1053,0.0273,0.0842,0.1615,0
PLS,Fresh,S,pct,-7.2371,0.0465,0.2156,0.0552,0.1958,0.3782,0.167
PLS,Fresh,Zn,ppm,-5.5414,0.0464,0.2153,0.0554,0.2011,0.3985,0.1668
RF,Dried,Al,ppm,0.5647,0.0035,0.059,0.0132,0.0447,0.0913,0.0457
RF,Dried,B,ppm,0.6149,0.0042,0.065,0.0154,0.0442,2.07118E+13,0.0581
RF,Dried,Ca,pct,0.5104,0.0059,0.0768,0.0184,0.0622,0.1512,0.0595
RF,Dried,Cu,ppm,0.2652,0.0138,0.1174,0.0265,0.0782,7.24706E+13,0.0909
RF,Dried,Fe,ppm,0.2953,0.0092,0.0957,0.0214,0.0656,2.17779E+13,0.0742
RF,Dried,Mg,pct,0.5096,0.0084,0.0919,0.0216,0.0588,4.85648E+13,0.0712
RF,Dried,Mn,ppm,0.3021,0.0101,0.1003,0.0224,0.0666,2.80066E+13,0.0897
RF,Dried,N,pct,0.453,0.0054,0.0738,0.0169,0.0473,0.1182,0.0738
RF,Dried,P,pct,0.4968,0.0065,0.0806,0.0179,0.0569,1.91065E+13,0.0806
RF,Dried,K,pct,0.5582,0.0053,0.0726,0.016,0.0528,0.1057,0.0726
RF,Dried,Na,pct,0.3647,0.0051,0.0717,0.0168,0.0455,2.74167E+13,0
RF,Dried,S,pct,0.2742,0.0085,0.0922,0.0205,0.0644,2.5257E+13,0.0714
RF,Dried,Zn,ppm,0.2859,0.0082,0.0903,0.0201,0.0618,2.9366E+13,0.07
RF,Fresh,Al,ppm,0.1077,0.007,0.0836,0.0219,0.0638,0.1378,0.0648
RF,Fresh,B,ppm,-0.0215,0.0138,0.1174,0.0322,0.079,3.99166E+13,0.105
RF,Fresh,Ca,pct,-0.0348,0.011,0.105,0.0288,0.0819,0.2123,0.0814
RF,Fresh,Cu,ppm,-0.2608,0.0451,0.2125,0.0543,0.1456,7.74275E+13,0.1646
RF,Fresh,Fe,ppm,0.1375,0.0116,0.1075,0.0282,0.0656,3.46331E+13,0.0833
RF,Fresh,Mg,pct,0.297,0.007,0.0838,0.0223,0.0644,0.1492,0.0649
RF,Fresh,Mn,ppm,0.1139,0.0118,0.1084,0.0291,0.0874,2.79716E+13,0.097
RF,Fresh,N,pct,-0.0177,0.0065,0.0806,0.0206,0.056,0.1139,0.0806
RF,Fresh,P,pct,-0.0175,0.0117,0.1082,0.0279,0.0822,3.44887E+13,0.1082
RF,Fresh,K,pct,0.1352,0.0072,0.085,0.0218,0.0676,0.1294,0.085
RF,Fresh,Na,pct,0.2216,0.0051,0.0714,0.0185,0.0532,0.103,0
RF,Fresh,S,pct,-0.2574,0.0071,0.0842,0.0216,0.0663,0.1281,0.0653
RF,Fresh,Zn,ppm,-0.0819,0.0077,0.0876,0.0225,0.0752,0.1529,0.0678
